Country,Year,Life_expectancy,CHE_GDP_ratio,GDP_per_capita
Austria,2014,81.6,10.46333761,35830
Austria,2015,81.3,10.43381221,35930
Austria,2016,81.8,10.40879691,36230
Austria,2017,81.7,10.4424619,36820
Austria,2018,81.8,10.40393827,37550
Austria,2019,82,10.52570994,38040
Austria,2020,81.3,11.33338715,35480
Austria,2021,81.3,12.12265107,37040
Austria,2022,81.4,11.13762407,38560
Belgium,2014,81.4,10.55725244,33790
Belgium,2015,81.1,10.82701943,34090
Belgium,2016,81.5,10.83399402,34320
Belgium,2017,81.6,10.84119518,34700
Belgium,2018,81.7,10.87442692,35190
Belgium,2019,82.1,10.74244194,35850
Belgium,2020,80.8,11.19186831,33990
Belgium,2021,81.9,11.0888651,35950
Belgium,2022,81.8,10.58051764,37170
Bulgaria,2014,74.5,7.683051828,5590
Bulgaria,2015,74.7,7.393630262,5850
Bulgaria,2016,74.9,7.459760708,6110
Bulgaria,2017,74.8,7.496238224,6360
Bulgaria,2018,75,7.34087755,6610
Bulgaria,2019,75.1,7.118134279,6960
Bulgaria,2020,73.3,8.440605694,6810
Bulgaria,2021,71.2,8.58049494,7380
Bulgaria,2022,74.2,7.638495209,7730
Croatia,2014,77.9,6.566120051,10530
Croatia,2015,77.5,6.65547083,10850
Croatia,2016,78.2,6.69169266,11320
Croatia,2017,78,6.628020228,11810
Croatia,2018,78.2,6.713616351,12270
Croatia,2019,78.6,6.786991246,12980
Croatia,2020,77.6,7.683519023,12010
Croatia,2021,76.6,8.082648761,13620
Croatia,2022,77.7,7.296362305,14630
Cyprus,2014,82.3,6.931383989,20310
Cyprus,2015,81.8,6.793838678,21170
Cyprus,2016,82.7,6.652536579,22410
Cyprus,2017,82.2,6.621915677,23480
Cyprus,2018,82.9,6.784453269,24650
Cyprus,2019,82.3,6.998448778,25740
Cyprus,2020,82.4,8.647960096,24630
Cyprus,2021,81.3,9.197861379,27180
Cyprus,2022,81.6,8.376445232,28790
Czechia,2014,78.9,7.539195492,15670
Czechia,2015,78.7,7.293465621,16440
Czechia,2016,79.1,7.322584553,16860
Czechia,2017,79.1,7.241910209,17720
Czechia,2018,79.1,7.371733923,18200
Czechia,2019,79.3,7.487540686,18820
Czechia,2020,78.3,8.969958776,17900
Czechia,2021,77.2,9.154204891,18620
Czechia,2022,79,8.470628985,18690
Denmark,2014,80.7,10.31388853,44870
Denmark,2015,80.8,10.37545418,45500
Denmark,2016,80.9,10.28229491,46520
Denmark,2017,81.1,10.11380136,47640
Denmark,2018,81,10.14163306,48290
Denmark,2019,81.5,10.18468547,48920
Denmark,2020,81.6,10.69237529,47940
Denmark,2021,81.5,10.67648797,51260
Denmark,2022,81.3,9.43393739,51600
Estonia,2014,77.4,6.262864831,13140
Estonia,2015,78,6.521377,13410
Estonia,2016,78,6.569155888,13800
Estonia,2017,78.4,6.466374131,14580
Estonia,2018,78.5,6.563156004,15070
Estonia,2019,79,6.647630487,15570
Estonia,2020,78.9,7.471795774,15070
Estonia,2021,77.2,7.475918897,16140
Estonia,2022,78.1,6.967713787,16130
Finland,2014,81.3,9.830662359,34220
Finland,2015,81.6,9.699983824,34270
Finland,2016,81.5,9.456255186,35060
Finland,2017,81.7,9.191485764,36130
Finland,2018,81.8,9.103300921,36510
Finland,2019,82.1,9.222939149,36970
Finland,2020,82,9.699771984,35990
Finland,2021,81.9,9.909697545,36880
Finland,2022,81.2,9.741525917,37060
France,2014,82.9,11.50407959,31580
France,2015,82.4,11.42442297,31780
France,2016,82.7,11.50238155,31930
